Species	BigJulian	Julian	Date	Lake	CountedBy	Total	UA	UJ	UninfectedMales	UninfectedEphip	APasteuria	JPasteuria	MalePasteuria	EphipPastueria	Brood	ACaullerya	JCaullerya	MaleCaullerya	EphipCaullerya	AWBD	JWBD	MaleWBD	AScarlet	JScarlet	MaleScarlet	EphipScarlet	AMetsch	JMetsch	MaleMetsch	EphipMetsch	ALarssonia	JLarssonia	ASpider	JSpider	MaleSpider	JPastMetsch	ACaullPasteuria	JCaullPasteuria	ACaullBrood	UnknownMicrosporidian	AMilkyGut	AGut	BroodEphip	MetschEphip	SpiderEphip	Hyphal.brood	Unknown	Unknown.oval.parasite..probably.microsporidian.	ACaullLarss	WBDJ	EphipScar	AUnknownGut	JUnknownGut	MaleUnknownGut	AScar	ACaull	JCaull	AMetschCaull	X	EphipWBD	BroodWBD	Ovary	EphipCaull	Brood.1	Spider	AGurleya	Hyphalbrood	AMetschLarssonia	AUnknownMicrosporidian	AUnknown	Gurleya	ASpiderPast	APastBrood	APastMetsch	ACaulPast	BroodLarssonia	APastCaullerya	betterDates	pasttot	proppast	metschtot	propmetsch	broodtot	propbrood	caulltot	propcaull	scartot	propscar	larsstot	proplarss	spidertot	propspider	gurleyatot	propgurleya
dentifera	15162	162	6/11/2015	CrookedP	MAD	414	235	179	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/11/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15163	163	6/12/2015	CrookedW	MAD	563	210	344	2	0	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/12/2020	4	0.007104796	0	0	0	0	0	0	0	0	3	0.005328597	0	0	0	0
dentifera	15163	163	6/12/2015	Cedar	CLS	204	92	112	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/12/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15166	166	6/15/2015	Appleton	MAD	272	162	101	0	0	0	0	0	0	6	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/15/2020	0	0	0	0	6	0.022058824	0	0	1	0.003676471	2	0.007352941	0	0	0	0
dentifera	15166	166	6/15/2015	LittleAppleton	KKH	269	40	217	0	0	0	0	0	0	0	9	2	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/15/2020	0	0	0	0	0	0	11	0.040892193	1	0.003717472	0	0	0	0	0	0
dentifera	15166	166	6/15/2015	Bishop	CLS	297	134	155	0	0	0	0	0	0	0	4	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/15/2020	0	0	0	0	0	0	4	0.013468013	1	0.003367003	3	0.01010101	0	0	0	0
dentifera	15168	168	6/17/2015	Sullivan	KKH	203	55	135	0	0	0	0	0	0	0	0	0	0	0	1	1	0	2	7	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/17/2020	0	0	0	0	0	0	0	0	10	0.049261084	2	0.009852217	0	0	0	0
dentifera	15168	168	6/17/2015	Gosling	MAD	626	328	275	0	0	0	0	0	0	17	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/17/2020	0	0	0	0	17	0.02715655	0	0	3	0.004792332	3	0.004792332	0	0	0	0
dentifera	15168	168	6/17/2015	Pickerel	CLS	203	73	129	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/17/2020	0	0	0	0	0	0	0	0	1	0.004926108	0	0	0	0	0	0
dentifera	15169	169	6/18/2015	Woodland	MAD	203	111	87	0	0	0	0	0	0	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/18/2020	0	0	0	0	1	0.004926108	0	0	4	0.019704433	0	0	0	0	0	0
dentifera	15169	169	6/18/2015	Whitmore	KKH	209	118	89	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	6/18/2020	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15194	194	7/13/2015	Walsh	CDG	208	99	106	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/13/2020	2	0.009615385	1	0.004807692	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15194	194	7/13/2015	Mill	CLS	482	138	340	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/13/2020	0	0	0	0	0	0	1	0.002074689	0	0	3	0.006224066	0	0	0	0
dentifera	15195	195	7/14/2015	North	CLS	226	59	164	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/14/2020	0	0	0	0	0	0	0	0	3	0.013274336	0	0	0	0	0	0
dentifera	15195	195	7/14/2015	Bruin	MAD	227	191	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/14/2020	0	0	0	0	0	0	0	0	0	0	1	0.004405286	0	0	0	0
dentifera	15195	195	7/14/2015	CrookedP	KKH	217	83	131	1	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/14/2020	0	0	0	0	0	0	2	0.00921659	0	0	0	0	0	0	0	0
dentifera	15197	197	7/16/2015	Cedar	CLS	212	94	102	0	0	0	0	0	0	3	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/16/2020	0	0	0	0	3	0.014150943	12	0.056603774	0	0	1	0.004716981	0	0	0	0
dentifera	15197	197	7/16/2015	CrookedW	KKH	274	96	164	0	0	1	0	0	0	0	11	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/16/2020	2	0.00729927	0	0	0	0	14	0.051094891	0	0	0	0	0	0	0	0
dentifera	15202	202	7/21/2015	LittleAppleton	MAD	573	249	323	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/21/2020	1	0.001745201	0	0	0	0	0	0	0	0	0	0	0	0	0	0
dentifera	15202	202	7/21/2015	Bishop	KKH	262	109	136	0	0	0	0	0	0	0	7	0	0	0	2	1	0	2	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	7/21/2020	0	0	0	0	0	0	7	0.026717557	9	0.034351145	0	0	0	0	0	0
