Lake,Counted by,Rep,Julian,Date sampled,DentA,DentJ,DentM,DentE,DentTot,PulA,PulJ,PulM,PulE,PulTot,RetroA,RetroJ,RetroM,RetroE,RetroTot,CerioA,CerioJ,CerioE,CerioTot,DubiaA,DubiaJ,DubiaM,DubiaE,DubiaTot,ParvA,ParvJ,ParvM,ParvE,ParvTot,AmbA,AmbJ,AmbTot,MendA,MendJ,MendM,MendE,MendTot
LilAp,CLS,1,285,10/12/2015,599854.8738,924937.5151,58050.47166,3870.031444,1586712.892,0,0,0,0,0,0,0,0,0,0,23220.18866,3870.031444,0,27090.22011,0,3870.031444,0,0,3870.031444,0,0,0,0,0,0,0,0,0,0,0,0,0
LilAp,CLS,2,285,10/12/2015,615334.9996,1021688.301,127711.0377,0,1764734.338,0,0,0,0,0,0,0,0,0,0,46440.37733,19350.15722,0,65790.53455,3870.031444,0,0,0,3870.031444,3870.031444,3870.031444,0,0,7740.062888,0,0,0,0,0,0,0,0
Cedar,CDG,1,226,8/14/2015,116100.9433,92880.75466,0,0,208981.698,15480.12578,7740.062888,0,0,23220.18866,92880.75466,127711.0377,0,0,220591.7923,0,0,0,0,5805.047166,7740.062888,0,0,13545.11005,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CDG,1,239,8/27/2015,251552.0439,185761.5093,0,0,437313.5532,3870.031444,3870.031444,0,0,7740.062888,61920.5031,74820.60792,0,0,136741.111,3870.031444,0,0,3870.031444,0,7740.062888,0,0,7740.062888,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CDG,1,254,9/11/2015,48375.39305,38700.31444,0,0,87075.70749,0,0,0,0,0,7740.062888,5528.616349,0,0,13268.67924,0,0,0,0,0,1548.012578,0,0,1548.012578,0,0,0,0,0,0,0,0,0,0,0,0,0
Cedar,CDG,1,295,10/22/2015,162541.3206,59340.48214,61920.5031,15480.12578,299282.4317,0,7740.062888,0,0,7740.062888,74820.60792,51600.41925,5160.041925,0,131581.0691,0,0,0,0,5160.041925,0,0,0,5160.041925,0,0,0,0,0,0,0,0,0,0,0,0,0
LilAp,CLS,1,273,9/30/2015,317342.5784,1118439.087,92880.75466,0,1528662.42,7740.062888,0,0,0,7740.062888,15480.12578,3870.031444,0,0,19350.15722,46440.37733,65790.53455,0,112230.9119,3870.031444,15480.12578,0,0,19350.15722,0,0,0,0,0,0,7740.062888,7740.062888,0,0,0,0,0
Walsh,CLS,1,236,8/24/2015,157381.2787,90300.73369,0,0,247682.0124,0,0,0,0,0,36120.29348,23220.18866,0,0,59340.48214,12900.10481,7740.062888,0,20640.1677,0,0,0,0,0,5160.041925,2580.020963,0,0,7740.062888,0,0,0,0,0,0,0,0
Bishop,CDG,1,202,7/21/2015,208981.698,205111.6665,0,0,414093.3645,3870.031444,19350.15722,0,0,23220.18866,116100.9433,201241.6351,0,0,317342.5784,0,0,0,0,3870.031444,15480.12578,0,0,19350.15722,0,0,0,0,0,3870.031444,0,3870.031444,0,0,0,0,0
Bishop,CDG,1,229,8/17/2015,64500.52407,95460.77562,0,0,159961.2997,0,0,0,0,0,263162.1382,518584.2135,0,0,781746.3517,0,0,0,0,7740.062888,15480.12578,0,0,23220.18866,0,0,0,0,0,0,5160.041925,5160.041925,0,0,0,0,0
Bishop,CDG,1,243,8/31/2015,25155.20439,71595.58171,0,0,96750.7861,0,1935.015722,0,0,1935.015722,208981.698,255422.0753,0,0,464403.7733,1935.015722,0,0,1935.015722,7740.062888,15480.12578,0,0,23220.18866,0,0,0,0,0,0,0,0,0,0,0,0,0
Bishop,CDG,1,315,11/11/2015,5160.041925,7740.062888,3870.031444,9030.073369,25800.20963,0,0,0,0,0,119970.9748,73530.59744,27090.22011,3870.031444,224461.8238,0,1290.010481,12900.10481,14190.11529,1290.010481,2580.020963,0,0,3870.031444,0,0,0,0,0,0,1290.010481,1290.010481,0,0,0,0,0
Mill,CLS,1,208,7/27/2015,51600.41925,103200.8385,0,0,154801.2578,0,0,0,0,0,650165.2826,1462871.886,0,0,2113037.168,25800.20963,54180.44022,0,79980.64984,0,0,0,0,0,220591.7923,325082.6413,0,0,545674.4336,95460.77562,72240.58695,167701.3626,0,0,0,0,0
North,CLS,1,209,7/28/2015,406353.3016,654035.314,0,0,1060388.616,0,0,0,0,0,437313.5532,1044908.49,0,0,1482222.043,3870.031444,3870.031444,0,7740.062888,0,0,0,0,0,3870.031444,0,0,0,3870.031444,0,0,0,0,0,0,0,0
Walsh,CLS,1,208,7/27/2015,69660.56599,126421.0272,0,0,196081.5932,0,0,0,0,0,5160.041925,18060.14674,0,0,23220.18866,2580.020963,0,0,2580.020963,0,0,0,0,0,0,2580.020963,0,0,2580.020963,2580.020963,2580.020963,5160.041925,0,0,0,0,0
Pickerel,CDG,1,203,7/22/2015,208981.698,255422.0753,0,0,464403.7733,34830.283,73530.59744,0,0,108360.8804,7740.062888,7740.062888,0,0,15480.12578,119970.9748,166411.3521,0,286382.3269,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickerel,CDG,1,216,8/4/2015,274772.2325,127711.0377,0,0,402483.2702,30960.25155,112230.9119,0,0,143191.1634,11610.09433,11610.09433,0,0,23220.18866,89010.72321,119970.9748,0,208981.698,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickerel,CDG,1,232,8/20/2015,119970.9748,73530.59744,0,0,193501.5722,30960.25155,20640.1677,0,0,51600.41925,25800.20963,18060.14674,0,0,43860.35637,7740.062888,7740.062888,0,15480.12578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickerel,CDG,1,244,9/1/2015,29025.23583,69660.56599,0,0,98685.80182,18060.14674,20640.1677,0,0,38700.31444,19350.15722,50310.40877,0,0,69660.56599,3870.031444,6450.052407,0,10320.08385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickerel,CDG,1,259,9/16/2015,38700.31444,118680.9643,0,0,157381.2787,38700.31444,61920.5031,0,0,100620.8175,79980.64984,147061.1949,0,0,227041.8447,3870.031444,3870.031444,0,7740.062888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickerel,CDG,1,271,9/28/2015,42570.34588,30960.25155,0,0,73530.59744,7740.062888,34830.283,0,0,42570.34588,34830.283,46440.37733,0,0,81270.66032,5805.047166,7740.062888,0,13545.11005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickerel,CDG,1,287,10/14/2015,20640.1677,51600.41925,15480.12578,0,87720.71273,38700.31444,61920.5031,0,0,100620.8175,34830.283,61920.5031,7740.062888,0,104490.849,12900.10481,10320.08385,0,23220.18866,0,0,0,0,0,2580.020963,0,0,0,2580.020963,0,0,0,0,0,0,0,0
Pickerel,CDG,1,299,10/26/2015,46440.37733,44505.36161,23220.18866,0,114165.9276,23220.18866,81270.66032,0,0,104490.849,56760.46118,59340.48214,46440.37733,0,162541.3206,0,2580.020963,7740.062888,10320.08385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Pickerel,CDG,1,313,11/9/2015,23220.18866,28380.23059,23220.18866,15480.12578,90300.73369,3870.031444,17415.1415,0,0,21285.17294,12900.10481,51600.41925,25800.20963,0,90300.73369,0,7740.062888,1935.015722,9675.07861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Gosling,CDG,1,203,7/22/2015,65790.53455,154801.2578,0,0,220591.7923,0,0,0,0,0,0,0,0,0,0,417963.396,526324.2764,0,944287.6723,0,0,0,0,0,38700.31444,38700.31444,0,0,77400.62888,0,3870.031444,3870.031444,0,0,0,0,0
Gosling,CDG,1,216,8/4/2015,228331.8552,514714.1821,0,0,743046.0372,0,0,0,0,0,0,0,0,0,0,723695.88,928807.5466,0,1652503.427,0,0,0,0,0,69660.56599,127711.0377,0,0,197371.6036,3870.031444,7740.062888,11610.09433,0,0,0,0,0
